2025-08-05 08:23:35,915 | ERROR | Не удалось обработать: я
2025-08-05 09:25:47,409 | INFO | Вопрос: как дерево может гореть
2025-08-05 09:29:19,828 | INFO | Вопрос: ли деревья гореть
2025-08-23 11:26:12,935 | ERROR | Не удалось обработать: привет
2025-08-23 11:26:21,087 | INFO | Вопрос: кто такой я
2025-08-23 11:37:07,777 | INFO | Вопрос: кто такой я
2025-08-23 11:46:24,734 | ERROR | Не удалось обработать: привет
2025-08-23 11:46:50,455 | INFO | Факт добавлен: Факт: энди — это — ты
2025-08-23 11:47:02,848 | INFO | Вопрос: кто такой енди
2025-08-23 11:47:48,096 | INFO | Вопрос: кто такой ты
2025-08-23 11:53:13,663 | ERROR | Не удалось обработать: привет
2025-08-23 11:53:21,566 | ERROR | Не удалось обработать: привет
2025-08-23 11:55:15,191 | INFO | Вопрос: кто такой ты
2025-08-23 12:03:03,663 | ERROR | Не удалось обработать: привет
2025-08-23 19:08:12,331 | INFO | Вопрос: кто такой я
2025-08-23 19:11:03,953 | INFO | Вопрос: как дела
2025-08-23 19:11:19,346 | INFO | Вопрос: как дела
2025-08-23 19:11:44,291 | INFO | Вопрос: как дела
